Filename,F0_mid,F0_median,Duration(ms.)
Clip1,265,267,2790.354
Clip1,295,296,935.228
Clip1,NA,191,674.591
Clip1,NA,NA,405.033
Clip1,271,200,320.259
Clip1,NA,254,1036.131
Clip1,227,271,1926.398
Clip1,NA,437,480.388
Clip1,245,239,1657.81
Clip1,NA,214,3193.168
Clip1,NA,136,2304.707
Clip1,NA,182,652.444
Clip1,NA,NA,621.679
Clip1,149,195,3804.554
Clip1,NA,193,3890.202
Clip1,NA,172,6481.477
Clip1,NA,203,8569.49
Clip1,NA,281,5001.688
Clip1,NA,191,3854.744
Clip1,157,208,2533.812
Clip1,NA,162,2250.927
Clip1,171,196,2673.63
Clip1,NA,195,4898.075
Clip1,259,197,2856.107
Clip1,NA,301,3117.813
Clip1,NA,192,4661.853
Clip1,219,200,2401.413
Clip1,212,221,2740.587
Clip1,155,148,846.688
Clip1,219,199,2690.625
Clip1,309,233,1602.625
Clip1,NA,308,5504.312
Clip1,265,310,1675.462
Clip1,421,223,3992.538
Clip1,NA,152,5149.608
Clip1,232,224,801.938
Clip1,NA,156,4371.375
Clip1,183,182,1650.688
Clip1,158,178,4554.313
Clip1,307,293,3981.25
Clip1,NA,223,4242
Clip1,288,213,3202.587
Clip1,NA,336,1780.796
Clip1,297,241,4371
Clip1,155,157,1088.937
Clip1,189,173,1100
Clip1,279,310,3594.125
Clip1,NA,248,2808.375
Clip1,529,272,3921.687
Clip1,147,149,1028.338
Clip1,159,154,994.5
Clip1,242,243,968.533
Clip1,NA,182,850.313
Clip1,167,124,946.172
Clip1,227,221,5129.562
Clip1,291,294,597.313
Clip1,NA,208,4149.875
Clip1,NA,189,3485.168
Clip1,NA,202,3554.644
Clip1,NA,260,5285.906
Clip1,129,217,2104.938
Clip1,NA,349,3707.25
Clip1,151,163,3508.187
Clip1,278,188,3576
Clip1,198,197,1600.477
Clip1,490,191,4302.563
Clip1,203,204,1190.798
Clip1,NA,195,1844.904
Clip1,NA,190,3149.563
