ClipNumber,Id,Lastname,Firstname,Age,Sex,ProcessingFile,Timestamp,Duration,Meaningful,Distant,TV,TV.Pct,Noise,Silence,AWC,,,CTC,,,CVC,,,,,StartTime,EndTime,StartTimeS,EndTimeS
1,C005,Seg1-2-CDI,C03-S02(S05),13m; 16d,M,20190430_134500_031775.its,26/04/2019 21:05,0:05:00,0:03:47,0:00:10,0:00:00,0%,0:00:01,0:01:02,792,,,13,,,18,,,113.32,81%,10:28:28,10:33:28,37708,38008
2,C005,Seg1-2-CDI,C03-S02(S05),7m; 26d,M,20181108_143031_012241.its,05/11/2018 13:00,0:05:00,0:03:13,0:00:30,0:00:00,0%,0:00:00,0:01:17,507,,,26,,,68,,,113.54,81%,4:41:40,4:46:40,16900,17200
3,C006,Seg1-2-CDI,C04-S04(S07),11m; 7d,M,20190214_153259_012241.its,12/02/2019 18:10,0:05:00,0:03:21,0:00:12,0:00:11,4%,0:00:00,0:01:16,284,,,24,,,91,,,125.79,95%,10:14:13,10:19:13,36853,37153
4,C006,Seg1-2-CDI,C04-S04(S07),11m; 7d,M,20190214_153259_012241.its,12/02/2019 18:55,0:05:00,0:02:56,0:00:21,0:00:11,4%,0:00:02,0:01:30,450,,,27,,,66,,,125.79,95%,10:59:13,11:04:13,39553,39853
5,C006,Seg1-2-CDI,C04-S04(S07),13m; 28d,M,20190510_180618_031776.its,03/05/2019 11:30,0:05:00,0:03:01,0:00:31,0:00:00,0%,0:00:08,0:01:20,395,,,22,,,54,,,108.83,72%,2:34:45,2:39:45,9235,9535
6,C007,Seg1-2-CDI,C12-S05(S11),14m; 6d,F,20190527_141218_031495.its,22/05/2019 22:15,0:05:00,0:02:39,0:00:25,0:00:00,0%,0:00:02,0:01:54,435,,,9,,,28,,,109.11,72%,11:10:40,,40240,40540
7,C007,Seg1-2-CDI,C12-S05(S11),14m; 6d,F,20190527_141218_031495.its,22/05/2019 19:45,0:05:00,0:02:52,0:00:44,0:00:00,0%,0:00:06,0:01:18,436,,,22,,,49,,,109.11,72%,8:40:40,,31240,31540
8,C007,Seg1-2-CDI,C12-S05(S11),14m; 6d,F,20190527_141218_031495.its,22/05/2019 19:35,0:05:00,0:02:32,0:00:49,0:00:00,0%,0:00:07,0:01:32,187,,,19,,,81,,,109.11,72%,8:30:40,,30640,30940
9,C008,Seg1-2-CDI,C07-S06(S10),10m; 29d,M,20190219_164211_012243.its,15/02/2019 19:15,0:05:00,0:03:02,0:00:59,0:00:00,0%,0:00:04,0:00:55,130,,,15,,,101,,,119.13,89%,10:57:04,,39424,39724
10,C008,Seg1-2-CDI,C07-S06(S10),10m; 29d,M,20190219_164211_012243.its,15/02/2019 21:10,0:05:00,0:03:10,0:01:31,0:00:01,1%,0:00:02,0:00:16,114,,,13,,,77,,,119.13,89%,12:52:04,,46324,46624
11,C008,Seg1-2-CDI,C07-S06(S10),13m; 22d,M,20190515_112523_031493.its,09/05/2019 20:50,0:05:00,0:02:43,0:01:42,0:00:01,1%,0:00:24,0:00:10,50,,,8,,,79,,,117.68,87%,11:23:27,,41007,41307
12,C013,Seg1-2-CDI-Moma,C13-S10(S08)-P35,7m; 28d,M,20181206_113635_012242.its,03/12/2018 15:00,0:05:00,0:01:58,0:03:00,0:00:01,1%,0:00:00,0:00:01,0,,,0,,,86,,,106.6,66%,8:47:33,,31653,31953
13,C015,IPLP,I87,14m; 2d,M,20181212_125908_012244.its,06/12/2018 10:35,0:05:00,0:03:06,0:00:45,0:00:19,6%,0:00:02,0:00:48,175,,,11,,,66,,,88.41,21%,1:00:39,,3639,3939
14,C016,IPLP,I84,14m; 19d,F,20181214_153936_014954.its,11/12/2018 19:35,0:05:00,0:03:30,0:00:50,0:00:00,0%,0:00:01,0:00:39,354,,,29,,,57,,,94.77,36%,9:57:32,,35825,36125
15,C017,IPLP,I88,14m; 9d,M,20181220_162750_012244.its,17/12/2018 15:35,0:05:00,0:03:30,0:00:36,0:00:03,1%,0:00:00,0:00:51,609,,,21,,,32,,,104.87,62%,7:16:51,,26211,26511
16,C017,IPLP,I88,14m; 9d,M,20181220_162750_012244.its,17/12/2018 19:50,0:05:00,0:02:22,0:00:19,0:00:32,10%,0:00:00,0:01:47,304,,,24,,,53,,,104.87,62%,11:31:51,,41511,41811
17,C021,IPLP,I90,13m; 22d,M,20181228_172555_012242.its,19/12/2018 11:15,0:05:00,0:03:41,0:00:07,0:00:01,1%,0:00:00,0:01:11,273,,,23,,,94,,,82.33,11%,2:51:44,,10304,10604
18,C026,Seg1-2,S18(S26),10m; 16d,F,20190416_162047_031782.its,15/04/2019 11:25,0:05:00,0:03:01,0:00:06,0:00:00,0%,0:00:04,0:01:49,614,,,19,,,30,,,120.96,91%,0:59:13,,3553,3853
19,C026,Seg1-2,S18(S26),7m; 10d,F,20190114_114146_014956.its,09/01/2019 18:20,0:05:00,0:02:54,0:00:33,0:00:17,6%,0:00:10,0:01:06,709,,,13,,,14,,,123.42,93%,10:12:06,,36726,37026
20,C028,Music,M03,14m; 2d,M,20190116_115521_014954.its,13/01/2019 15:00,0:05:00,0:02:59,0:00:28,0:00:01,1%,0:00:07,0:01:25,532,,,26,,,43,,,119.96,90%,7:56:33,,28593,28893
21,C032,Seg2-CDI,C06(S01),10m; 10d,M,20190122_174322_012241.its,17/01/2019 11:45,0:05:00,0:03:13,0:00:28,0:00:12,3%,0:00:03,0:01:04,770,,,12,,,13,,,69.55,2%,3:43:00,,13380,13680
22,C034,Seg2-CDI,C01(S03),13m; 9d,F,20190416_141255_031779.its,15/04/2019 19:00,0:05:00,0:00:56,0:01:29,0:00:00,0%,0:00:34,0:02:01,111,,,6,,,14,,,103.54,59%,11:35:49,,41749,42049
23,C034,Seg2-CDI,C01(S03),13m; 9d,F,20190416_141255_031779.its,15/04/2019 17:50,0:05:00,0:03:18,0:00:21,0:00:00,0%,0:00:00,0:01:21,574,,,28,,,32,,,103.54,59%,10:25:49,,37549,37849
24,C034,Seg2-CDI,C01(S03),13m; 9d,F,20190416_141255_031779.its,15/04/2019 17:15,0:05:00,0:03:29,0:00:50,0:00:01,1%,0:00:02,0:00:38,701,,,22,,,28,,,103.54,59%,9:50:49,,35449,35749
25,C035,WordTeaching-Music,M13-W03,12m; 1d,M,20190123_164758_014954.its,21/01/2019 12:30,0:05:00,0:02:51,0:00:30,0:00:02,1%,0:00:09,0:01:28,445,,,16,,,33,,,82.55,12%,4:38:51,,16731,17031
26,C039,Seg1-2,S20(S24),10m; 1d,M,20190417_140227_031775.its,10/04/2019 18:20,0:05:00,0:03:30,0:00:32,0:00:00,0%,0:00:19,0:00:39,500,,,16,,,50,,,103.35,58%,1:45:05,,6305,6605
27,C039,Seg1-2,S20(S24),7m; 15d,M,20190127_101657_012243.its,24/01/2019 12:50,0:05:00,0:03:38,0:00:36,0:00:01,1%,0:00:02,0:00:43,252,,,23,,,94,,,98.58,46%,1:28:31,,5311,5611
28,C039,Seg1-2,S20(S24),7m; 16d,M,20190127_101657_012243.its,25/01/2019 0:30,0:05:00,0:04:07,0:00:08,0:00:11,3%,0:00:00,0:00:34,626,,,20,,,30,,,98.58,46%,13:08:31,,47311,47611
29,C041,WordTeaching,W06,8m; 23d,M,20190130_114638_014956.its,25/01/2019 16:15,0:05:00,0:02:09,0:00:31,0:00:00,0%,0:00:01,0:02:19,87,,,5,,,64,,,80.14,9%,6:28:14,,23294,23594
30,C042,WordTeaching,W10,8m; 28d,M,20190131_100117_012241.its,29/01/2019 13:55,0:05:00,0:02:22,0:01:43,0:00:00,0%,0:00:37,0:00:18,226,,,17,,,49,,,104.01,60%,5:13:26,,18806,19106
31,C043,Seg1-2,S21(S25),8m,F,20190131_124652_012242.its,30/01/2019 15:30,0:05:00,0:03:31,0:00:52,0:00:06,1%,0:00:02,0:00:29,768,,,4,,,5,,,105.86,64%,6:30:42,,23442,23742
32,C043,Seg1-2,S21(S25),8m,F,20190131_124652_012242.its,30/01/2019 17:10,0:05:00,0:02:46,0:00:21,0:00:02,1%,0:00:06,0:01:45,656,,,7,,,13,,,105.86,64%,8:10:42,,29442,29742
33,C044,Seg1-2,S22 (S30),7m; 19d,F,20190201_175422_012243.its,30/01/2019 7:55,0:05:00,0:02:16,0:00:33,0:00:01,1%,0:00:08,0:02:02,328,,,14,,,25,,,108.77,72%,0:30:38,,1838,2138
34,C046,WordTeaching,W11,8m; 22d,M,20190201_180704_031495.its,31/01/2019 16:40,0:05:00,0:03:14,0:00:42,0:00:00,0%,0:00:05,0:00:59,464,,,29,,,88,,,118.99,89%,7:28:10,,26890,27190
35,C046,WordTeaching,W11,8m; 22d,M,20190201_180704_031495.its,31/01/2019 11:20,0:05:00,0:03:41,0:00:04,0:00:00,0%,0:00:00,0:01:15,324,,,21,,,101,,,118.99,89%,2:08:10,,7690,7990
36,C046,WordTeaching,W11,8m; 22d,M,20190201_180704_031495.its,31/01/2019 11:15,0:05:00,0:03:08,0:00:15,0:00:00,0%,0:00:04,0:01:33,211,,,29,,,112,,,118.99,89%,2:03:10,,7390,7690
37,C049,Seg1-2,S23(S27),10m; 3d,M,20190422_172455_031776.its,16/04/2019 16:30,0:05:00,0:03:50,0:00:46,0:00:01,1%,0:00:01,0:00:22,770,,,3,,,3,,,100.21,50%,8:27:40,,30460,30760
38,C056,Music,M07,12m; 17d,M,20190222_164639_031494.its,19/02/2019 15:20,0:05:00,0:03:11,0:00:33,0:00:00,0%,0:00:10,0:01:06,428,,,16,,,26,,,86.49,17%,5:21:37,,19297,19597
39,C057,IPLP-Music,M12-I99,15m; 26d,F,20190307_102140_012243.its,28/02/2019 10:45,0:05:00,0:01:01,0:00:10,0:02:11,43%,0:00:04,0:01:34,185,,,2,,,3,,,78.16,7%,2:22:27,,8547,8847
40,C062,IPLP-Music,M16-I103,13m; 20d,F,20190314_113335_012241.its,11/03/2019 23:25,0:05:00,0:03:54,0:00:45,0:00:00,0%,0:00:00,0:00:21,482,,,28,,,72,,,96.5,40%,13:44:50,,49490,49790
41,C063,IPLP-Music,M19-I106,15m; 23d,M,20190314_120615_031495.its,10/03/2019 13:05,0:05:00,0:02:02,0:00:58,0:00:05,2%,0:00:12,0:01:43,160,,,10,,,50,,,93.56,33%,5:54:01,,21241,21541
